source,title,link,date,n_comments,comment_1_author,comment_1_location,comment_1_date,comment_1_text,comment_1_likes,comment_1_dislikes,comment_2_author,comment_2_location,comment_2_date,comment_2_text,comment_2_likes,comment_2_dislikes,comment_3_author,comment_3_location,comment_3_date,comment_3_text,comment_3_likes,comment_3_dislikes,comment_4_author,comment_4_location,comment_4_date,comment_4_text,comment_4_likes,comment_4_dislikes,comment_5_author,comment_5_location,comment_5_date,comment_5_text,comment_5_likes,comment_5_dislikes,comment_6_author,comment_6_location,comment_6_date,comment_6_text,comment_6_likes,comment_6_dislikes,comment_7_author,comment_7_location,comment_7_date,comment_7_text,comment_7_likes,comment_7_dislikes,comment_8_author,comment_8_location,comment_8_date,comment_8_text,comment_8_likes,comment_8_dislikes,comment_9_author,comment_9_location,comment_9_date,comment_9_text,comment_9_likes,comment_9_dislikes,comment_10_author,comment_10_location,comment_10_date,comment_10_text,comment_10_likes,comment_10_dislikes,comment_11_author,comment_11_location,comment_11_date,comment_11_text,comment_11_likes,comment_11_dislikes,comment_12_author,comment_12_location,comment_12_date,comment_12_text,comment_12_likes,comment_12_dislikes,comment_13_author,comment_13_location,comment_13_date,comment_13_text,comment_13_likes,comment_13_dislikes,comment_14_author,comment_14_location,comment_14_date,comment_14_text,comment_14_likes,comment_14_dislikes,comment_15_author,comment_15_location,comment_15_date,comment_15_text,comment_15_likes,comment_15_dislikes
Diario de Pontevedra,Cerca de 300 personas visitaron la Escuela Naval en su jornada de puertas abiertas,https://www.diariodepontevedra.es/articulo/o-morrazo/cerca-300-personas-visitaron-escuela-naval-jornada-puertas-abiertas/202505312230131393261.html,2025-05-31T22:30:00,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Diario de Pontevedra,La Escuela Naval Militar de Marín inaugura el 5 de junio una exposición sobre Felipe VI,https://www.diariodepontevedra.es/articulo/o-morrazo/escuela-naval-inaugura-5-junio-exposicion-rey-felipe-vi/202505302210531393168.html,2025-05-30T22:10:00,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Diario de Pontevedra,Pontevedra y Marín estarán unidas por una senda peatonal segura en 10 meses,https://www.diariodepontevedra.es/articulo/pontevedra/pontevedra-marin-estaran-unidas-senda-peatonal-segura-10-meses/202505302206001393171.html,2025-05-30T22:06:00,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Diario de Pontevedra,"El sabor a mar, protagonista de la Ruta Marín Pincho a Pincho: estas serán las tapas",https://www.diariodepontevedra.es/articulo/o-morrazo/sabor-mar-protagonista-ruta-marin-pincho-pincho/202505302119311393157.html,2025-05-30T21:19:00,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Diario de Pontevedra,"O CD La Peña, á procura da fase final",https://www.diariodepontevedra.es/articulo/deporte-local-pontevedra/cd-pena-procura-da-fase-final/202505292135271392996.html,2025-05-29T21:35:00,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Diario de Pontevedra,La Escuela Naval Militar de Marín celebra el Día de las Fuerzas Armadas,https://www.diariodepontevedra.es/articulo/o-morrazo/escuela-naval-militar-celebra-dia-fuerzas-armadas/202505291341531392916.html,2025-05-29T13:41:00,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Diario de Pontevedra,"Los juegos de agua del Paseo Alcalde Blanco, en Marín, ya vuelven a estar activos",https://www.diariodepontevedra.es/articulo/o-morrazo/juegos-auga-paseo-alcalde-blanco-marin-vuelven-estar-activos/202505271909461392711.html,2025-05-27T19:09:00,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Diario de Pontevedra,"El Parque da Natureza de Castiñeiras, en Marín, formará un ecosistema de bosques",https://www.diariodepontevedra.es/articulo/o-morrazo/parque-da-natureza-castineiras-formara-ecosistema-bosques/202505262023111392572.html,2025-05-26T20:23:00,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Diario de Pontevedra,María Ramallo aposta por un segundo centro de maiores en Marín,https://www.diariodepontevedra.es/articulo/o-morrazo/maria-ramallo-aposta-segundo-centro-maiores-marin/202505250940011392313.html,2025-05-25T09:40:00,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Diario de Pontevedra,Defensa no cederá más terrenos de la Escuela Naval Militar al Concello de Marín,https://www.diariodepontevedra.es/articulo/o-morrazo/defensa-cedera-mas-terrenos-escuela-naval-concello-marin/202505232024331392201.html,2025-05-24T06:00:00,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Diario de Pontevedra,"Luz verde al nuevo contrato de basuras de Marín, que supera los 20,5 millones",https://www.diariodepontevedra.es/articulo/o-morrazo/luz-verde-nuevo-contrato-basuras-marin-que-supera-205-millones/202505221944441392024.html,2025-05-22T19:44:00,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Diario de Pontevedra,"Foi 'Marín, Vila do Libro' unha digna homenaxe á lingua galega? PP e BNG discrepan",https://www.diariodepontevedra.es/articulo/o-morrazo/marin-vila-do-libro-digna-homenaxe-lingua-galega-pp-bng-discrepa/202505221358221391946.html,2025-05-22T13:58:00,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Diario de Pontevedra,O Marín Peixegalego comeza a traballar no proxecto 2025-26,https://www.diariodepontevedra.es/articulo/deporte-local-pontevedra/marin-peixegalego-prepara-proxecto/202505211935501391860.html,2025-05-21T19:35:00,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
